Year,RCRA Hazardous Waste Manifest Number,Foreign Exporter Name,Foreign Exporter Site Address,Foreign Exporter Site City,Foreign Exporter  Site State or Province,Foreign Exporter Site ZIP or Mailing Code,Hazardous Waste Description,DOT/UN ID Code,DOT/UN ID Code description,DOT Packing Group,Number of Containers,Container Type,Total Quantity in Shipment,Units for Quantity in Shipment,quant final,units final,Applicable EPA Hazardous Waste Code(s),Expected Management Method Code,Expected Management Method Code description,Port of Entry City,Port of Entry State,Receiving Facility EPA ID Number 2,Receiving Facility Name,Receiving Facility Street Address,Receiving Facility City,Receiving Facility State,Receiving Facility Zip Code
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,5,P - Pounds,2.26796,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,15,P - Pounds,6.80388,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,40,P - Pounds,18.14368,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,23,P - Pounds,10.432616,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,15,P - Pounds,6.80388,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,586,P - Pounds,265.804912,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,"WASTE MERCURY COMPOUNDS, SOLID, NOS (MERCURY)",UN2809,Mercury,,,,7,P - Pounds,3.175144,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,5,P - Pounds,2.26796,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY,UN2809,Mercury,,,,8,P - Pounds,3.628736,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
2012,ARD069748192,"CLEAN HARBORS EL DORADO, LLC",309 AMERICAN CIRCLE,EL DORADO,AR,71730,WASTE MERCURY CONTAINED IN MANUFACTURED ARTICLES (MERCURY),UN2809,Mercury,,,,109,P - Pounds,49.441528,kg,,,,,,,CLEAN HARBORS INC,400 GALIPEAU RANGE 5 EST,THURSO,QUEBEC,J0X3B0
